company_name,job_title,job_role,job_requirement,salary
SERVLINK TECHNOLOGY RESOURCES PTE LTD,Software Support Engineer,Responsibilities  Create/Maintain workstation images and build new systems with standard imaging process. Responsible for process and procedure for image build and support checklist Create and maintain automated application deployment packages. Develop software installation scripts Assist support services in software installation package distribution troubleshooting ," Minimum Diploma Holder Minimum 1 year experience in similar scope Able to converse in English fluently Strong background in desktops, laptop and Windows environment. Experience and proficient in building workstation images Proficient in using automated deployment tools & creating software installation scripts Knowledge in SCCM (System Center Configuration Manager)  Other information:  Tenure: 6 months and 12 months contract ","$3,500 - $4,000"
APAR TECHNOLOGIES PTE. LTD.,Senior Application Support Analyst,"To be responsible for the Support & Administration of applications and services used for the production, management & delivery of content and services online."," Providing capacity planning, monitoring, and maintenance of designated system(s) Identifying trends or problems (as defined under ITIL). Understanding, in depth, the business processes supported by the system To maintain production environments relating to online services. This will include development, qa, uat, stage and production systems. To ensure that applications are maintained in a manner that supports delivery of services to multiple platforms, resilience, and performance Experience of working collaboratively with multidisciplinary teams with a focus on delivery in a rapidly changing environment. To ensure continuity of the business processes supported by one or many applications / services Ensuring continuity and quality by owning the resolution of issues across platforms. Tracking progress and escalating as appropriate unless resolution reached Analyze the logs and find out issues quickly before users are impacted. Analyze and fix the critical issue reported during business hours. Analyze, Recommend and Implement security and performance on application. Manage and deploy cloud based application. Work with business to understand the issue and communicate back to them how it was resolved. Monitor the Performance of the servers. Understand infrastructure and network and fix issue in configuration. Communicate with vendors to solve the issue in cloud based application. Proactively monitor ticket queue and clear the incident timely. Meet SLA for incidents and requests. Work in ITIL framework/process and use tools related to that. Work with CDN & Cloud Hosting Partner to implement / release new projects in infrastructure. Knowledge of building highly scalable systems Knowledge of automated deployment Knowledge of source control and release management tools Experience of monitoring tools and/or transaction monitoring Experience of virtualization of applications particularly using VW-Ware Experience of multiple database environments Experience in programming languages / scripting Experience of large scale file replication or messaging systems    Skills:   Visual Studio 2010, ASP.Net, C# 4.0, SQL Server 2012, JavaScript, HTML, CSS, Managing cloud application and hosting, Hudson, Jenkins CI tools 1 - 3 years’ experience with: Adobe Experience Manager (AEM) OSGi framework (Bundles/Services, tag libraries) Experience coding with Java/J2EE Experience integrating AEM into application servers and Web servers Experience of building and maintaining applications in a multiplatform environment (Windows Server and/or Unix/Linux environments) Web server (ideally Apache) configuration and management Knowledge of application servers such as JBOSS","$5,200 - $7,500"
MYREPUBLIC LIMITED,Customer Service Officer,"  COMPANY DESCRIPTION   MyRepublic is on the front lines of the biggest transformation the telecommunications industry has seen in decades - and we’re loving it. The Next Generation National Broadband Network (NBN) is a great opportunity for small businesses to shake things up and we couldn’t be prouder to get involved. We are currently offering the world’s fastest fibre broadband at 1GBps and shaking the market both here in Singapore as well as Australia and New Zealand.   For more information, please visit http://www.myrepublic.com.sg     JOB DESCRIPTION   Job Responsibilities  Provide support to enquiries on retail promotions, products and services, inclusive of general, billing and order enquiries. Handle customer inquiries/disputes/issues/feedback on the phone or via email in a timely and professional manner as required by departmental policies and procedures Instil customer loyalty and retain customers through the company retention strategies Effectively navigate all systems in order to provide super customer experience Enhance customer satisfaction by providing solutions to their needs Make outbound calls to existing customers to engage and retain customers ",Job Requirements  Diploma / GCE ''O'' Levels Relevant working experience in the service industry Effectively bilingual and articulate with a strong command of spoken and written English and Mandarin to liaise with Mandarin-speaking customers Excellent customer handling skills Independent and Self-Driven with problem solving skills Pleasant and cheerful personality Ability to build rapport with customers and to understand their needs Effective team players who like to work in a fast-paced and dynamic environment Possess strong PC and internet skills  Able to work Shift Duties.       OTHER INFORMATION Candidates who can start immediately or on short notice would be highly regarded.,None
A*STAR RESEARCH ENTITIES,Scientist (Robotics & Autonomous Systems)  /  I2R (A*STAR),"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are seeking candidates with passion to conduct R&D in the exciting area of service robotics, with the eventual goal of translating successful research outcomes to the real world. You will be part of our team developing autonomous mobile robots/vehicles for outdoor with relatively high speed on road. The required background knowledge, experience, and related skill includes but are not limited to:  Experience with mobile robotics or Autonomous Vehicle system Knowledge on path-planning, control, navigation mechanism Knowledge and experience on LIDAR-based and/or vision-based navigation Knowledge on the basics of recursive Bayesian estimation methods, such as KF (Kalman Filter), Extended KF, Unscented KF, and PF (Particle Filter) and SLAM   "," PhD in Mechanical, Electrical, or Computer Science/Engineering, Machine Learning, or related fields Minimum 1 year's hands on experience in autonomous mobile robot/vehicle related research and development Strong software development skills in C/C++, Python Good knowledge on ROS, Linux and/or DDS related middleware Familiarity with emerging advanced navigation works in unstructured and crowded environment is an advantage Basic knowledge on machine learning and deep learning algorithms is an advantage Good team player attitude & behavior  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","$4,500 - $9,000"
EYEOTA PTE. LTD.,DevOps Lead,"If you have a passion for high performance distributed computing leveraging bleeding edge cloud infrastructure, then come join Eyeota to run a high volume, distributed and complex advertising network.  The mission of the DevOps team is to build and operate a distributed, high efficiency, high resiliency, low latency global infrastructure. Every month our systems is used by 100+ million people around the world. You will be responsible for the team that is at the core of the Technology organization, providing a consistent, easy to use platform for all developers across a variety of needs and usage patterns. You will be working hands-on and leading a team that is focused on the architecture of, and process innovation around, the infrastructure underlying the entire company.  We want someone who is unafraid to take responsibility, and is passionate, fast and detail-oriented in their work. You will spend roughly half the time technically hands-on, and the other half designing, coaching and planning with the leadership team and the engineers on your own team. If this sounds like you, or the engineer you want to be, we want to hear from you! ","What you will be doing:   Ensure the operational integrity of the global infrastructure  Design repeatable continuous integration and delivery systems  Test and measure new methods, applications and frameworks  Lead the DevOps and Technology teams towards leveraging various cloud-native functionality  Support and build out an on-premise data center footprint  Provide support and diagnose issues to other teams related to our infrastructure  Participate in 24/7 on-call rotation     What we look for:   Demonstrated the ability to lead and grow an engineering team  Ability to think beyond what currently exists and drive towards what should be  Strong Linux experience  4+ years of experience with AWS or GCP  4+ years managing on-premise data centers (networking, cabling, racking, provisioning, etc)  3+ years of experience with Cassandra, Aerospike, Couchbase or other distributed NoSQL databases  3+ years of experience in a high volume 24x7 shop  Experience managing hundreds to thousands of servers globally  Configuration Management with Ansible or similar systems  Scripting in bash, perl, python or other scripting languages  Enjoy automating tasks, rather than repeating them  Strong knowledge of Internet building blocks (TCP, DNS, HTTP)  Strong verbal and written communication skills  Ability to adapt to a rapidly changing environment  Comfortable collaborating and supporting a diverse team of engineers  Ability to troubleshoot problems in complex systems  Flexible working hours and ability to participate in 24/7 on call support with other team members.  Familiarity with monitoring/alerting tools such as Graphite, Prometheus, CloudWatch and PagerDuty   ","$9,000 - $125,000"
XILINX ASIA PACIFIC PTE. LTD.,Staff Product Characterization Engineer (SoC),"Product Characterization Suite Development The product characterization team is looking for a highly motivated individual to evaluate the performance of Xilinx MPSoC products.  Job Responsibilities would be:  Work with IP and system integration teams to understand system requirements and specific use case Building framework and infrastructure to streamline development Developing functional tests for measuring performance of blocks within SoC Develop FPGA system level design to test for SoC performance Implement volume system testing, analyze test results to discover trends and outliers Work with cross functional team to Investigate and find solutions to various issues ","The successful candidate should be/possess the following attributes:  10+ years of experience developing software for ARM-based SoC devices, ideally in the areas of CPU benchmarking or high-performance computing applications Have a strong background in low-level C programming BS in EE, CS, ECE or related field; MS preferred Knowledge in ARM architecture and AMBA Knowledge of scripting languages such as Tcl, Perl or Phython Knowledge of SoC design and architecture, including debug solutions, power management, DMA, MBIST Familiar with processor architecture concept and on-chip interconnects such as AMBA. Embeded software and device driver experience using Linux on FPGAs or SoCs Good understanding of statistical analysis Possess high level of understanding of how FPGA features are used in complex systems and highly demanding applications. Possess thorough understanding of different FPGA blocks interactions and system level applications. Provide solutions and guidance to incorporate application level dependencies into the characterization tests. Provides leadership in keeping the team up-to-date with state of the art performance measurement techniques. ","$7,000 - $8,500"
ADMATERIALS TECHNOLOGIES PTE. LTD.,IT Engineer,"We have an opportunity for an IT Engineer. In this role you will be responsible for all IT related tasks and issues including hardware and software at the designated unit and shall:  Provide desktop and network support for the company and staff; Write and maintain software documentation; Maintain and modify existing applications developed using Open ERP; Perform data acquisition and automation of testing equipment’s; Develop and maintain websites; Develop training materials and deliver technical training to colleagues; Work effectively with diverse business users and articulate the substantive issues clearly and concisely to peers, senior management and clients; Set up, configure, and troubleshoot web applications; ","What we are looking for  Degree in Computer Science, Information Technology or equivalent Solid understanding of object-oriented programming (OOP); High level of proficiency in  .NET technologies especially ASP.NET MVC and C#; Creating and consuming Windows Communication Foundation (WCF) and Web API services SQL Server experience with ability to create stored procedures, triggers, etc. Experience in HTML/XML/AJAX/CSS/JavaScript and jQuery;  Programming knowledge of Python, XML in Linux environment. Knowledge of Open ERP/ Odoo. Experience working with 3rd party UI controls such as Kendo UI or DevExpress; Experience with NServiceBus (a plus); Understanding and exposure to Angular JS, (Bootstrap preferred); Experience in networking and automation ( an advantage);  Who we are looking for  Someone with a minimum 2 year experience in the criteria listed above. Self-motivated team player with excellent organizational skills. Exceptional  communicator with communication skills in English    This position is based at Sungei Kadut Loop. Transport will be provided at Yewtee MRT Station. For interested candidates, kindly click on the APPLY button or send your resume to hr@admaterials.com.sg We regret to inform that only shortlisted candidates will be contacted.","$2,200 - $3,500"
ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Senior Applications Support (6 months renewable contract), Responsible for providing 24X7 Application Support across multiple applications. ," Responsible for applying code and operation break fixes and other proactive maintenance activities to keep the services up and running. Responsible for evaluating the Issues reported by clients and members and providing ongoing solutions Responsible for managing the performance and tuning of several applications. Will be responsible for managing the service and ticket SLAs and managing the workflow to achieve the SLAs. Responsible for owning a specific production problem, and provide active coordination between various groups including internal and external vendor support groups in resolving a specific problem Provide appropriate feedback to management about progress and timeline related to specific production problem At least 5+ years of Experience in working with Apache, Tomcat,WebSphere, IBM-HIS web server and Batch job processing - ETL and Hadoop Big data technologies is preferred. Experience with Java, J2EE, SOAP, Rest Bachelor's degree or equivalent in CS, Engineering or related field such as programming or software engineering Intermediate level of knowledge on UNIX/Linux/Windows OS. Intermediate level of experience on Application servers like IBM WebSphere, Weblogic, etc. Intermediate level of experience on Web Servers like IIS, IBM IHS, etc Exceptional in handling scripting language (Shell script, Perl, Python, bash) Experience in troubleshooting production issues and problem solving Experience in working with Db2 UDB and Oracle DB's are preferred. Experience with ServiceNow or BMC Remedy and ticketing workflows is preferred. Working experience with monitoring tools like OPTNET and/or SPLUNK, or any other monitoring tools/processes will be advantageous. Prior working experience with Card and transaction domains will be advantageous. Should have a technical and business mindset At least 3 years' experience in Production support working in a globally distributed team. ISO 9000 and ITIL experience will be advantageous Good in handling certificate renewal process and handling security remediation on Linux/Solaris/AIX servers ","$7,000 - $9,000"
AIA SINGAPORE PRIVATE LIMITED,"Executive  /  Assistant Manager, Actuarial (Financial Reporting)","The incumbent will perform regular EV and ONB reporting, including coding, running and consolidating Prophet models. Identify areas where processes can be streamlined further to improve efficiency, and provide assistance to enhance models and spreadsheets. Key Responsibilities EV / VONB Reporting  Prepare EV / VONB reports and analysis for Singapore and Brunei Perform EV analysis of movement Perform adequate controls and checks during EV quarterly reporting and VONB monthly reporting and ensure that these controls meet internal and external audit requirements Submit the relevant documents accurately on time Provide support to Team Lead in performing necessary analysis and checks for ad-hoc projects from local and Group Office, including annual budget exercise  Prophet Modelling  Perform regular prophet runs for certain line of business Code new products into Prophet and ensure consistency with Pricing Code modelling enhancements and new initiatives into Prophet, perform impact analysis and conduct reasonableness checks on the impact Consolidate all model changes in the master model and perform impact testing on the master model Ensure proper documentation for all model changes "," Bachelor's Degree in Actuarial Science/Mathematics At least 2-4 years of experience Certifications/Licenses - Pursuing actuarial examiniations Proficient in Prophet, Excel ","$4,000 - $7,500"
MINDCHAMPS PRESCHOOL @ TPY PTE. LIMITED,PreSchool Principal,"  Determine the requirements that must be met regarding licensing, health and safety regulations from the start and local regulatory agencies  Work closely with agencies to meet requirements  Mentor the teachers to facilitate collaborative approaches to learning, teaching and evaluation so as to raise performance standards and competencies  Provide leadership for setting overall goals for the school as a basis for curriculum objectives  Prepare budget and control budget expenditures  Collect tuition fee and manage disbursement of cash for purchases  Keep adequate records of income and expenditures  Prepare monthly reports for the board and senior management ","  Diploma in Early Childhood Education - Teaching & Leadership is a must  Degree in Early Childhood Education will be advantageous  Minimum of 3 years of teaching and management experience in a childcare / preschool  Creative and inspiring with loving energy  Excellent communication and classroom management skills   Additional Information   Permanent position  Attractive remuneration and benefits package  Comprehensive training will be provided  Ample opportunities for personal growth and career development  Location: Toa Payoh, Paragon, Changi Business Park & many other centres islandwide ",Salary undisclosed
HEALINT PTE. LTD.,Frontend Engineer,"Your job responsibilities will include but not limited to work with the Interdisciplinary team of Designers, Data Scientists and Backend Engineers to iterate on the design and implementation of various web prototypes, data structure conversions and to identify and communicate front-end best practices Responsibilities   Work in an interdisciplinary team of Designers, Data scientists and Backend Engineers to iterate on the design and implement web prototypes   Create meaningful and delightful user interfaces and interactions   Build reusable front end components that can be used across projects   Maintain consistency with app’s design language   Able to identify and communicate front-end best practices  ","Requirements   Basic understanding of HTML, CSS, and related web technologies   Previous experience working with MVC frameworks, VueJS or Rest APIs are a plus   Mindful of potential impact of any design choices/decision   Awareness of cross-browser compatibility issues and client-side performance   Version control tools such as Git   Demonstrated design and UX sensibilities  ","$4,000 - $5,000"
KLEEN-PAK PRODUCTS PTE. LTD.,Marketing Executive," Assist the Managing Director in brand management, targeted marketing, advertising, tradeshows participation and communications activities. Plan and execute marketing & branding strategies to create brand awareness leading to lead generation and customer acquisition. Consistently identify new business opportunity/avenue to extend market share and increase sales revenue. Manage and generate content for website, social media and other platforms. Work closely with media partners to manage and improve online profile. Plan and execute above-the-line advertising strategies and develop below-the-line promotional materials. Develop and execute digital / social media marketing plans, monitor and evaluate marketing activities for the company. Write and proof-read marketing materials. Work with designers, advertising companies, printers and publishers for the development and production of marketing and presentation materials. Manage and coordinate trade shows participation locally and globally. Liaise with event coordinators to maximise visibility, including compiling product and literature lists to display or demonstrate. Monitor competitor’s activities and generate leads. Analyse and qualify each lead before passing it on to the Sales team. Monitor media reporting and update marketing reports on a weekly basis Manage customers’ packaging artwork with customers and external designers. Coordinate between customers and printers on packaging design and artwork. Verify artwork vs print samples. Ensure compliance with operational, ISO and GMP procedures and standards. Perform other duties as assigned by the Managing Director. "," Diploma in Marketing / Mass Communication or related discipline with at least 2 years of relevant experience. Strong copywriting skills is an asset Experience in Photoshop and Adobe Illustrator. Experience in marketing materials production preferred. Knowledgeable in social media and content management. Possess an eye for details and flair in creative designs. Professional network with the media and marketing partners will be advantageous. Excellent interpersonal and presentation skills. Possess customer-focused mindset, matured and amicable personality. Able to communicate effectively. Self-motivated and result oriented individual. Periodic travel is required. ","$2,000 - $3,000"
CAPITA PTE. LTD.,Digital Marketing (6 months) - Up $3200,"RESPONSIBILITIES:  Assist in the creation of creative, engaging bilingual content across company’s digital platforms and social media channels Assist in curating content to support Amway brands, products and services Assist in managing digital assets Any other duties as assigned ","REQUIREMENTS:  Highly driven and enthusiastic in creating and developing engaging, optimized content across company’s digital platforms from e-commerce sites, eDMs, digital advertising banners to social media channels. Experience with Adobe Creative Suite, especially Photoshop, Premiere Pro and After effects. Familiar with social media platforms, especially Facebook and Instagram. Basic knowledge in Microsoft Office (Word, Excel, PowerPoint). Knowledge in Video production of short, engaging videos is preferred    Interested candidates, please click the Äpply Now"" below   Only shortlisted applicants will be notified by our consultants.   CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272","$2,500 - $3,200"
M.TECH PRODUCTS PTE LTD,Temp Finance Executive, Regional Finance and Accounting functions Handle full spectrum of Accounts Receivable and Accounts Payable Assist in Month-End closing of regional accounts Ensure compliance with internal control procedure and regional accounting policies Any other ad-hoc/administrative duties assigned from time to time ," Minimum Diploma/Degree in Accountancy or equivalent or applicants with minimum 2 years accounting experience in full sets of books and regional function are also welcome to apply ERP (Net Suite) knowledge preferred Proficient in Microsoft Excel, Word Team-player, able to multi-task & work independently Able to meet deadline and with positive attitude Able to commence work at a short notice and commit until 31 December 2018 ","$2,000 - $3,000"
THATZ INTERNATIONAL PTE LTD,"Assistant Consulting Manager, IT Enterprise Solutions"," To promote and market Thatz 2.0 core competencies in Business Solutions and Nextgen Enterprise IT Services. Responsible for business development, revenue growth, productivity and profit of each engagement. Establish and sustain strong business relationships between Thatz and the customer’s management, operations and support teams, and to lead the sales and delivery teams in identifying and delivering the best values to our customers. Manage and coordinate resources, as well as, meeting contract obligations to deliver good customer satisfaction. Advise the customer on technology adoption and implementation strategy including architecture, integration, selection and operation with the goal of improving the success of the customer’s business operation. Collaborate with the Technical Support Team to develop effective sales action programs. Work closely with Channel Partners and Principals to develop and promote new products and services to existing, as well as to new clienteles. Identify and put in place best practices to support these areas of business. "," A recognized degree in IT, Engineering, Computer Science, Computer Engineering, Science and Business IT. Preferably with more than 3 years of ICT working experience in MNC or SME market. Result oriented, possess exceptional leadership, business management and organizational skills. An excellent communicator with strong inter-personal skills. IT savvy and a high achiever. ","$3,000 - $4,000"
